i_new,revenu,Unnamed:_2,Freq_Nombre_de_Jours_sans_pluie,nbjour,nbjsp,uc1,revenu,revenu,nbpers,nenf,naa,nana,jardin,Piscine_1__oui,Assainissement_Collectif_1__oui,NonAssaini,maison,retraité_1__oui,proprio_1__oui,id_projet,SNWA,Garden_Weather,UC_Oxford,UC_OCDE,Niveau_vie_Oxford,Niveau_vie_OCDE
64,649.2019436207179,64,0.8288770053475936,187,155,2.2,4,560,3,1,0,2,1,0,1,0,1,1,0,1,1.0,0.8288770053475936,2.2,1.8,,
111,13133.364213449267,111,0.7581699346405228,153,116,2.7,7,7374,4,2,2,0,1,0,0,1,1,0,1,1,0.0,0.7581699346405228,2.7,2.1,,
291,2278.9276210455178,291,0.9135135135135135,185,169,3.8,6,1587,5,0,0,5,1,0,1,0,1,1,1,1,1.0,0.9135135135135135,3.8,3.0,,
226,2145.5526410417488,226,0.5837837837837838,185,108,3.8,2,3640,5,0,3,2,1,0,1,0,1,0,0,1,0.4,0.5837837837837838,3.8,3.0,,
30,3141.459896155876,30,0.7049180327868853,183,129,1.7,1,2058,2,0,0,2,1,0,0,1,1,1,1,1,1.0,0.7049180327868853,1.7,1.5,,
197,708.1012223159019,197,1.3454545454545455,55,39,2.4,3,1106,3,0,1,2,1,0,1,0,0,1,0,1,0.6666666666666666,1.3454545454545455,2.4,2.0,,
196,592.5543765506293,196,0.8586956521739131,92,79,2.4,3,1106,3,0,1,2,1,0,1,0,0,1,0,1,0.6666666666666666,0.8586956521739131,2.4,2.0,,
27,1829.6233140050551,27,0.5333333333333333,60,32,2.7,3,1093,4,2,0,2,1,0,0,1,1,0,1,1,1.0,0.5333333333333333,2.7,2.1,,
8,10383.062495687187,8,0.6326530612244898,98,62,1.7,7,7374,2,0,1,1,1,0,0,1,1,0,0,1,0.5,0.6326530612244898,1.7,1.5,,
418,6833.568257317542,418,0.5081081081081081,185,94,3.7,7,6149,6,4,2,0,1,0,0,1,1,0,1,1,0.0,0.5081081081081081,3.7,2.7,,
109,2343.9000057918565,109,0.6735537190082644,242,163,2.7,7,7374,4,2,2,0,1,0,0,1,1,0,1,1,0.0,0.6735537190082644,2.7,2.1,,
