i_new,Revenu_Imputé_2,Unnamed: 2,Freq Nombre de Jours sans pluie,nbjour,nbjsp,uc1,revenu,Revenu imputé,nbpers,nenf,naa (Nombre d'adultes actifs),nana (Nombre d'adultes non actifs),jardin (1 = oui),Piscine (1 = oui),Assainissement Collectif (1 = oui),NonAssaini,maison (1 = oui),retraité (1 = oui),proprio (1 = oui),id_projet
154,1087.9194319264393,154,0.8218390804597702,174,143,2.7,3,1170,4,2,1,1,1,0,0,1,1,0,0,1
155,740.8475853710092,155,0.7608695652173914,92,70,1.7,4,426,2,0,1,1,1,0,0,1,1,0,1,1
156,424.60230121500945,156,0.6018518518518519,108,65,2.9,3,1170,4,1,1,2,1,0,0,1,1,0,1,1
157,4199.791767104709,157,0.7932960893854749,179,142,1.0,1,2058,1,0,0,1,1,0,1,0,1,1,1,1
158,2802.5878978859,158,0.7736842105263158,190,147,1.0,1,2058,1,0,0,1,1,0,1,0,1,1,1,1
159,2369.8555555078565,159,0.8045977011494253,174,140,1.0,1,2058,1,0,0,1,1,0,1,0,1,1,1,1
160,831.705379114672,160,0.6703296703296703,91,61,3.1,3,1093,4,0,2,2,1,0,0,1,1,0,0,1
161,527.485237495853,161,0.9021739130434783,92,83,3.1,3,1093,4,0,2,2,1,0,0,1,1,0,0,1
162,3788.6765399256283,162,0.3516949152542373,236,83,1.7,7,7374,2,0,2,0,1,0,0,1,1,0,1,1
163,4927.050113109923,163,0.19148936170212766,188,36,1.7,7,7374,2,0,2,0,1,0,0,1,1,0,1,1
164,8162.812995639276,164,0.4857142857142857,175,85,1.7,7,7374,2,0,2,0,1,0,0,1,1,0,1,1
165,200.49559142722487,165,0.28651685393258425,178,51,1.7,4,426,2,0,1,1,1,0,1,0,0,0,1,1
166,267.8786396781451,166,0.2222222222222222,180,40,1.7,4,426,2,0,1,1,1,0,1,0,0,0,1,1
167,662.4644468219497,167,0.17204301075268819,186,32,1.7,4,426,2,0,1,1,1,0,1,0,0,0,1,1
168,2975.21337246277,168,0.6067961165048543,206,125,2.4,1,2035,3,0,2,1,1,0,0,1,1,0,1,1
169,1738.8678521815389,169,0.5108695652173914,184,94,2.4,1,2035,3,0,2,1,1,0,0,1,1,0,1,1
170,2736.8762635359863,170,0.5170454545454546,176,91,2.4,1,2035,3,0,2,1,1,0,0,1,1,0,1,1
171,2879.8948192479975,171,0.7650273224043715,183,140,1.5,1,2294,2,1,1,0,1,1,0,1,1,0,1,1
172,3450.3172066803363,172,0.5357142857142857,112,60,1.5,1,2294,2,1,1,0,1,1,0,1,1,0,1,1
173,1784.8917568207346,173,0.7630057803468208,173,132,1.7,4,560,2,0,0,2,1,0,1,0,0,1,0,1
174,1125.507490412289,174,0.8586956521739131,184,158,1.7,4,560,2,0,0,2,1,0,1,0,0,1,0,1
